IMPLdtl00111;IMPL-0020;#RIF!;CRC176LMXB03009;/;CRC176LMXB02003;/;SC;CRC0176LMXB03009;#N/D
IMPLdtl00112;IMPL-0020;#RIF!;CRC176LMXB03010;/;CRC176LMXB02003;/;SC;CRC0176LMXB03010;#N/D
IMPLdtl00113;IMPL-0020;#RIF!;CRC176LMXB03011;/;CRC176LMXB02004;/;SC;CRC0176LMXB03011;#N/D
IMPLdtl00114;IMPL-0020;#RIF!;CRC176LMXB03012;/;CRC176LMXB02004;/;SC;CRC0176LMXB03012;#N/D
IMPLdtl00115;IMPL-0021;#RIF!;CRC196PRXA01001;/;CRC196PRH00000;/;SC;CRC0196PRXA01001;#N/D
IMPLdtl00116;IMPL-0021;#RIF!;CRC196PRXB01001;/;CRC196PRH00000;/;SC;CRC0196PRXB01001;#N/D
IMPLdtl00117;IMPL-0022;#RIF!;CRC197PRXA01001;/;CRC197PRH00000;/;SC;CRC0197PRXA01001;#N/D
IMPLdtl00118;IMPL-0022;#RIF!;CRC197PRXB01001;/;CRC197PRH00000;/;SC;CRC0197PRXB01001;#N/D
IMPLdtl00119;IMPL-0023;#RIF!;CRC198PRXA01001;/;CRC198PRH00000;/;SC;CRC0198PRXA01001;#N/D
IMPLdtl00120;IMPL-0023;#RIF!;CRC198PRXB01001;/;CRC198PRH00000;/;SC;CRC0198PRXB01001;#N/D
IMPLdtl00121;IMPL-0024;#RIF!;CRC148LMXA04001;/;M119XA030006;/;SC;CRC0148LMXA04001;#N/D
IMPLdtl00122;IMPL-0024;#RIF!;CRC148LMXA04002;/;M119XA030006;/;SC;CRC0148LMXA04002;#N/D
IMPLdtl00123;IMPL-0024;#RIF!;CRC148LMXA04003;/;M119XA030006;/;SC;CRC0148LMXA04003;#N/D
IMPLdtl00124;IMPL-0024;#RIF!;CRC148LMXA04004;/;M119XA030006;/;SC;CRC0148LMXA04004;#N/D
IMPLdtl00125;IMPL-0024;#RIF!;CRC148LMXA04005;/;M119XA030006;/;SC;CRC0148LMXA04005;#N/D
IMPLdtl00126;IMPL-0024;#RIF!;CRC148LMXA04006;/;M119XA030006;/;SC;CRC0148LMXA04006;#N/D
IMPLdtl00127;IMPL-0025;#RIF!;CRC167LMXB04001;/;M167XB03004;/;SC;CRC0167LMXB04001;#N/D
IMPLdtl00128;IMPL-0025;#RIF!;CRC167LMXB04002;/;M167XB03004;/;SC;CRC0167LMXB04002;#N/D
IMPLdtl00129;IMPL-0025;#RIF!;CRC167LMXB04003;/;M167XB03004;/;SC;CRC0167LMXB04003;#N/D
